timestamp,ax,ay,az,label
32546,-11.23,-1.82,-1.29,Correct
32569,-9.41,-2.2,-0.18,Correct
32592,-10.25,-2.32,-1.54,Correct
32615,-15.04,-0.82,-3.91,Correct
32638,-10.41,-3.58,-3.49,Correct
32661,-10.47,-3.19,-2.19,Correct
32684,-8.63,-7.25,7.39,Correct
32707,-7.07,-1.2,3.71,Correct
32730,-9.66,-4.2,1.98,Correct
32753,-9.09,-0.46,3.22,Correct
32776,-7.02,1.34,3.89,Correct
32799,-7.75,-0.8,4.08,Correct
32822,-3.5,-2.07,7.4,Correct
32845,-6.73,-2.29,4.77,Correct
32868,-7.24,-2.54,4.32,Correct
32891,-5.91,-3.65,5.63,Correct
32914,-3.36,-3.87,6.78,Correct
32937,-4.13,-3.03,6.75,Correct
32960,-4.45,-2.59,7.14,Correct
32983,-4.99,-4.19,5.33,Correct
33006,-1.06,-4.36,8.86,Correct
33029,-1.87,-2.85,7.05,Correct
33052,-0.96,-3.1,9.21,Correct
33075,1.45,-2.94,10.88,Correct
33098,1.53,-2.74,11.3,Correct
33121,-1.86,0.68,7.43,Correct
33144,4.47,-1.93,13.13,Correct
33167,2.24,-3.62,10.47,Correct
33190,3.66,-4.19,11.3,Correct
33213,3.61,-3.32,11.17,Correct
33236,3.97,-0.8,11.77,Correct
33259,3.49,0.38,12.2,Correct
33282,3.63,1.25,12.35,Correct
33305,3.95,1.51,12.64,Correct
33328,3.09,1.08,11.97,Correct
33351,2.79,1.94,11.95,Correct
33374,2.97,0.21,12.16,Correct
33397,2.88,-3.0,11.93,Correct
33420,1.22,-2.1,9.81,Correct
33443,-1.59,-1.39,7.37,Correct
33466,1.24,-4.06,10.98,Correct
33489,1.31,-6.91,10.63,Correct
33512,-0.29,-6.31,8.64,Correct
33535,-1.74,-3.75,8.39,Correct
33558,-0.49,-3.06,9.57,Correct
33581,-1.9,-3.4,8.66,Correct
33604,-1.51,-2.09,9.34,Correct
33627,-2.92,-1.8,8.11,Correct
33650,-4.18,-1.31,7.01,Correct
33673,-2.79,0.42,9.7,Correct
33696,-2.95,0.94,9.17,Correct
33719,-1.23,1.14,9.64,Correct
33742,0.14,2.35,9.29,Correct
33765,-7.19,3.71,2.2,Correct
33788,-6.54,5.34,3.5,Correct
33811,-9.78,4.53,3.35,Correct
33834,-7.58,3.85,1.92,Correct
33857,-12.98,0.56,7.86,Correct
33880,-5.84,1.16,3.55,Correct
33903,-14.07,-3.17,-4.84,Correct
33926,-7.95,-9.32,-2.42,Correct
33949,-8.99,-8.23,-2.07,Correct
33972,-10.32,-7.26,-2.59,Correct
33995,-9.52,-5.97,-2.0,Correct
34018,-8.58,-5.55,0.09,Correct
34041,-9.97,-3.34,-0.88,Correct
34064,-9.68,-2.44,0.19,Correct
34087,-9.86,-2.77,0.59,Correct
34110,-10.48,-2.23,-0.96,Correct
34133,-10.58,-2.86,-1.85,Correct
34156,-10.23,-2.1,2.61,Correct
34179,-11.05,-0.97,-0.81,Correct
34202,-7.08,-1.2,2.16,Correct
34225,-11.53,-2.0,-1.22,Correct
34248,-15.63,-1.31,-8.0,Correct
34271,-9.66,-0.62,-0.57,Correct
34294,-8.67,-0.68,1.96,Correct
34317,-8.35,0.1,2.72,Correct
34340,-11.27,-0.34,1.57,Correct
34363,-6.73,-0.41,2.01,Correct
34386,-9.39,-3.28,1.99,Correct
34409,-6.03,-3.16,3.91,Correct
34432,-7.09,-2.97,2.92,Correct
34455,-3.76,-4.27,5.88,Correct
34478,-3.71,-4.43,6.1,Correct
34501,-5.0,-3.87,5.52,Correct
34524,-3.96,-2.85,5.67,Correct
34547,-2.71,-3.6,7.18,Correct
34570,-2.12,-4.22,7.45,Correct
