timestamp,ax,ay,az,label
27771,8.55,-19.61,-5.65,Err1
27794,11.14,-19.61,-9.88,Err1
27817,10.52,-19.61,-5.96,Err1
27840,4.95,-19.61,-2.52,Err1
27863,2.71,-9.97,-0.01,Err1
27886,-0.52,-2.57,3.02,Err1
27909,-2.5,1.44,3.87,Err1
27932,-3.89,-0.28,3.97,Err1
27955,-4.12,-3.35,2.47,Err1
27978,-2.85,-7.48,1.4,Err1
28001,-1.39,-13.37,0.82,Err1
28024,0.91,-17.57,0.18,Err1
28047,1.46,-19.61,-0.28,Err1
28070,2.19,-19.61,-0.16,Err1
28093,3.61,-19.61,0.29,Err1
28116,5.11,-19.61,-0.6,Err1
28139,5.54,-15.61,-0.37,Err1
28162,5.12,-9.63,-0.19,Err1
28185,3.81,-5.45,-1.02,Err1
28208,3.32,-3.5,-1.23,Err1
28231,2.2,-1.67,-0.42,Err1
28254,-3.0,5.82,-0.2,Err1
28277,-1.47,7.39,-0.94,Err1
28300,-1.05,8.83,2.15,Err1
28323,-3.06,9.44,1.29,Err1
28346,-2.81,8.84,1.8,Err1
28369,-1.87,8.97,0.84,Err1
28392,-2.03,11.4,2.29,Err1
28415,-2.0,13.53,1.02,Err1
28438,-2.76,14.12,0.78,Err1
28461,-3.18,14.39,1.42,Err1
28484,-1.37,14.88,2.49,Err1
28507,-1.36,14.48,3.34,Err1
28530,0.38,15.46,4.89,Err1
28553,-1.82,14.12,3.21,Err1
28576,-1.51,10.64,3.88,Err1
28599,-1.76,8.66,3.32,Err1
28622,-1.93,8.57,3.48,Err1
28645,-1.65,9.25,3.39,Err1
28668,-1.54,10.83,3.54,Err1
28691,-2.09,11.84,2.9,Err1
28714,-1.83,13.39,2.94,Err1
28737,-0.73,16.29,3.96,Err1
28760,-1.67,17.63,2.89,Err1
28783,-0.9,17.72,2.93,Err1
28806,-0.36,15.76,2.72,Err1
28829,0.18,14.63,3.01,Err1
28852,-0.76,13.22,2.13,Err1
28875,0.19,10.47,1.99,Err1
28898,-0.17,8.83,1.43,Err1
28921,0.52,7.94,1.91,Err1
28944,0.5,6.54,1.88,Err1
28967,0.51,4.84,-0.31,Err1
28990,0.64,2.29,-0.2,Err1
29013,2.37,1.98,-0.01,Err1
29036,3.19,-1.2,-2.2,Err1
29059,4.3,-2.45,-2.51,Err1
29082,7.15,-6.46,-3.21,Err1
29105,8.99,-13.95,-3.39,Err1
29128,8.43,-19.61,-4.69,Err1
29151,11.73,-19.61,-3.57,Err1
29174,9.65,-19.61,-3.28,Err1
29197,7.3,-19.61,-0.85,Err1
29220,3.61,-16.0,0.31,Err1
29243,1.06,-9.12,1.56,Err1
29266,-0.99,-4.95,2.6,Err1
29289,-2.27,-2.0,3.77,Err1
29312,-2.61,-2.26,4.15,Err1
29335,-3.85,-5.2,3.09,Err1
29358,-3.41,-10.73,1.98,Err1
29381,-1.83,-16.28,0.49,Err1
29404,-0.02,-18.55,0.7,Err1
29427,2.98,-19.61,1.77,Err1
29450,4.01,-19.61,0.53,Err1
29473,4.05,-15.21,0.83,Err1
29496,3.29,-9.83,-0.29,Err1
29519,1.88,-6.43,0.01,Err1
29542,1.26,-3.52,-0.88,Err1
29565,-1.02,0.17,0.81,Err1
29588,-1.24,3.38,0.41,Err1
29611,-1.3,6.82,1.24,Err1
29634,-2.42,8.42,2.42,Err1
29657,-3.56,9.08,2.37,Err1
29680,-2.96,9.43,2.84,Err1
29703,-2.67,10.41,3.28,Err1
29726,-2.9,12.63,2.78,Err1
29749,-3.88,13.85,2.87,Err1
29772,-5.04,13.53,2.73,Err1
29795,-4.2,13.23,2.97,Err1
29818,-4.28,12.82,3.2,Err1
29841,-4.14,12.37,3.22,Err1
29864,-4.09,12.17,3.29,Err1
29887,-3.87,11.63,3.46,Err1
29910,-4.05,10.82,3.55,Err1
29933,-3.86,10.15,3.75,Err1
29956,-3.41,10.76,4.07,Err1
29979,-4.08,11.54,3.59,Err1
30002,-3.71,12.51,3.9,Err1
30025,-4.04,12.68,4.1,Err1
30048,-3.84,12.21,3.59,Err1
30071,-4.02,11.13,3.72,Err1
30094,-3.62,11.03,3.57,Err1
